MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,Fireplaces,GarageYrBlt,GarageCars,WoodDeckSF,EnclosedPorch,MiscVal
20,98.0,11478,8,5,2007,2008,200.0,1218,0,486,1704,1704,0,1704,2,1,2008.0,3,0,0,0
20,47.0,16321,5,6,1957,1997,0.0,1277,0,207,1484,1600,0,1600,1,2,1957.0,1,288,0,0
30,60.0,6324,4,6,1927,1950,0.0,0,0,520,520,520,0,520,1,0,1920.0,1,49,87,0
70,50.0,8500,4,4,1920,1950,0.0,0,0,649,649,649,668,1317,1,0,1920.0,1,0,172,0
20,85.0,11049,8,5,2007,2007,0.0,0,0,1234,1234,1234,0,1234,2,0,2007.0,2,0,0,0
20,70.0,10552,5,5,1959,1959,0.0,1018,0,380,1398,1700,0,1700,1,1,1959.0,2,0,0,0
120,60.0,7313,9,5,2005,2005,246.0,1153,0,408,1561,1561,0,1561,2,1,2005.0,2,203,0,0
60,108.0,13418,8,5,2004,2005,132.0,0,0,1117,1117,1132,1320,2452,3,1,2004.0,3,113,0,0
20,112.0,10859,5,5,1994,1995,0.0,0,0,1097,1097,1097,0,1097,1,0,1995.0,2,392,0,0
20,74.0,8532,5,6,1954,1990,650.0,1213,0,84,1297,1297,0,1297,1,1,1954.0,2,0,0,0
20,68.0,7922,5,7,1953,2007,0.0,731,0,326,1057,1057,0,1057,1,0,1953.0,1,0,0,0
20,84.0,8658,6,5,1965,1965,101.0,643,0,445,1088,1324,0,1324,2,1,1965.0,2,0,0,0
20,115.0,16905,5,6,1959,1959,0.0,967,0,383,1350,1328,0,1328,1,2,1959.0,1,0,0,0
20,70.0,7945,5,6,1959,1959,0.0,179,506,465,1150,1150,0,1150,1,0,1959.0,1,0,0,0
120,61.0,7658,9,5,2005,2005,412.0,456,0,1296,1752,1752,0,1752,2,1,2005.0,2,196,0,0
50,48.0,12822,7,5,2003,2003,0.0,1351,0,83,1434,1518,631,2149,1,1,2003.0,2,168,0,0
20,84.0,11096,8,5,2006,2006,0.0,24,0,1632,1656,1656,0,1656,2,0,2006.0,3,0,0,0
20,66.0,7742,5,7,1966,1966,0.0,763,0,192,955,955,0,955,1,0,1966.0,1,0,0,0
50,52.0,6240,6,6,1934,1950,0.0,0,0,816,816,816,0,1176,1,1,1985.0,2,112,0,400
90,110.0,8472,5,5,1963,1963,0.0,104,712,0,816,816,0,816,1,0,1963.0,2,106,0,0
20,68.0,50271,9,5,1981,1987,0.0,1810,0,32,1842,1842,0,1842,0,1,1981.0,3,857,0,0
80,60.0,7134,5,5,1955,1955,0.0,384,0,0,384,1360,0,1360,1,1,1962.0,2,0,0,0
20,100.0,10175,6,5,1964,1964,272.0,490,0,935,1425,1425,0,1425,2,1,1964.0,2,0,0,0
160,24.0,2645,8,5,1999,2000,456.0,649,0,321,970,983,756,1739,2,0,1999.0,2,115,0,0
60,89.0,11645,7,5,2004,2004,0.0,0,0,860,860,860,860,1720,2,0,2004.0,2,0,0,0
60,66.0,13682,10,5,2006,2006,1031.0,0,0,1410,1410,1426,1519,2945,3,1,2006.0,3,192,37,0
20,60.0,7200,5,7,1972,1972,0.0,632,0,148,780,780,0,780,1,0,1973.0,1,196,0,0
20,63.0,13072,6,5,2004,2004,0.0,941,0,217,1158,1158,0,1158,1,0,2006.0,2,0,0,0
75,60.0,7200,5,7,1920,1996,0.0,0,0,530,530,581,530,1111,1,0,1935.0,1,0,144,0
120,44.0,6442,8,5,2006,2006,178.0,24,0,1346,1370,1370,0,1370,2,1,2006.0,2,120,0,0
70,50.0,10300,7,6,1921,1950,0.0,0,0,576,576,902,808,1710,2,0,1990.0,2,12,64,0
60,76.0,9591,8,5,2004,2005,344.0,0,0,1143,1143,1143,1330,2473,2,1,2004.0,3,192,0,0
20,72.0,10665,7,5,2003,2003,167.0,1013,0,440,1453,1479,0,1479,2,0,2003.0,2,144,0,0
30,47.0,4608,4,6,1945,1950,0.0,0,0,747,747,747,0,747,1,0,1945.0,1,0,0,0
50,81.0,15593,7,4,1953,1953,0.0,603,0,701,1304,1304,983,2287,2,1,1953.0,2,0,114,0
20,95.0,13651,7,6,1973,1973,1115.0,1880,0,343,2223,2223,0,2223,2,2,1973.0,2,300,0,0
20,69.0,7599,4,6,1982,2006,0.0,565,0,280,845,845,0,845,1,0,1987.0,2,0,0,0
60,74.0,10141,7,5,1998,1998,40.0,0,0,832,832,885,833,1718,2,1,1998.0,2,0,0,0
20,85.0,10200,5,7,1954,2003,104.0,320,362,404,1086,1086,0,1086,1,0,1989.0,2,0,0,0
50,60.0,5790,3,6,1915,1950,0.0,0,0,840,840,840,765,1605,2,0,1915.0,1,0,202,0
180,21.0,1596,4,5,1973,1973,0.0,462,0,0,462,526,462,988,1,0,1973.0,1,120,0,0
50,50.0,8635,5,5,1948,2001,0.0,336,41,295,672,1072,213,1285,1,0,1948.0,1,0,0,0
50,60.0,10440,5,6,1910,1981,0.0,0,0,440,440,682,548,1230,1,0,1966.0,2,74,128,0
60,100.0,13000,6,6,1968,1968,576.0,448,0,448,896,1182,960,2142,2,1,1968.0,1,0,0,0
120,32.0,4500,6,5,1998,1998,443.0,1201,0,36,1237,1337,0,1337,2,0,1998.0,2,0,0,0
20,78.0,10206,8,5,2007,2007,468.0,33,0,1530,1563,1563,0,1563,2,1,2007.0,3,144,0,0
20,80.0,8892,5,5,1960,1960,66.0,0,0,1065,1065,1065,0,1065,1,0,1974.0,2,74,0,0
60,121.0,16059,8,5,1991,1992,284.0,0,0,1288,1288,1301,1116,2417,2,1,1991.0,2,127,0,0
60,122.0,11911,6,5,2005,2005,0.0,0,0,684,684,684,876,1560,2,1,2005.0,2,100,0,0
160,40.0,3951,6,5,2009,2009,76.0,0,0,612,612,612,612,1224,2,0,2009.0,2,0,0,0
20,60.0,7200,4,5,1950,1950,0.0,0,0,0,0,1040,0,1040,1,0,1950.0,2,0,0,0
20,85.0,8500,5,3,1961,1961,203.0,600,0,635,1235,1235,0,1235,1,0,1961.0,2,0,0,0
30,80.0,13360,5,7,1921,2006,0.0,713,0,163,876,964,0,964,1,0,1921.0,2,0,44,0
190,60.0,7200,6,6,1910,1998,0.0,1046,0,168,1214,1260,1031,2291,2,1,1900.0,2,0,0,0
60,69.0,9337,6,5,1997,1997,0.0,648,0,176,824,905,881,1786,2,0,1997.0,2,0,0,0
20,78.0,10264,7,5,1999,1999,183.0,1162,0,426,1588,1588,0,1588,2,0,1999.0,2,158,0,0
20,73.0,10921,4,5,1965,1965,48.0,520,0,440,960,960,0,960,1,0,1965.0,1,120,0,0
30,85.0,10625,5,5,1920,1950,0.0,108,0,350,458,835,0,835,1,0,1920.0,1,0,77,400
60,77.0,9206,6,5,1985,1985,336.0,0,0,741,741,977,755,1732,2,1,1985.0,2,192,0,0
90,64.0,7018,5,5,1979,1979,0.0,0,0,0,0,1535,0,1535,2,0,1979.0,2,0,0,0
20,94.0,10402,7,5,2009,2009,0.0,0,0,1226,1226,1226,0,1226,2,0,2009.0,3,0,0,0
60,75.0,9375,8,5,2003,2004,768.0,0,0,1053,1053,1053,939,1992,2,1,2003.0,2,140,0,0
30,60.0,10800,4,7,1885,1995,0.0,0,0,641,641,1047,0,1047,1,0,1954.0,1,0,0,450
20,50.0,6000,5,5,1948,1950,0.0,104,169,516,789,789,0,789,1,0,1948.0,1,0,0,0
20,105.0,11751,6,6,1977,1977,480.0,705,0,1139,1844,1844,0,1844,2,1,1977.0,2,0,0,0
50,75.0,9525,6,4,1954,1972,0.0,444,0,550,994,1216,639,1855,2,0,1954.0,1,182,0,0
60,77.0,9965,7,5,2007,2007,220.0,984,0,280,1264,1282,1414,2696,2,1,2007.0,3,120,0,0
70,61.0,7259,6,8,1945,2002,0.0,774,150,104,1028,1436,884,2320,2,1,1945.0,1,224,0,0
160,34.0,3230,6,5,1999,1999,1129.0,419,0,310,729,729,729,1458,2,1,1999.0,2,0,0,0
20,74.0,8536,5,5,2006,2007,0.0,0,0,1125,1125,1125,0,1125,1,0,2007.0,2,80,0,0
60,90.0,12376,7,5,1990,1990,0.0,1470,0,203,1673,1699,1523,3222,3,2,1990.0,3,367,0,0
60,65.0,8461,6,5,2005,2006,0.0,0,0,728,728,728,728,1456,2,1,2005.0,2,0,0,0
50,50.0,6060,4,5,1939,1950,0.0,0,0,732,732,772,351,1123,1,0,1979.0,1,0,140,0
20,75.0,9464,6,7,1958,1958,135.0,570,0,510,1080,1080,0,1080,1,0,1958.0,1,0,0,0
120,55.0,7892,6,5,1993,1993,0.0,300,0,899,1199,1199,0,1199,2,0,1993.0,2,0,0,0
20,48.0,17043,6,5,1979,1998,0.0,0,0,1362,1362,1586,0,1586,2,1,1979.0,2,192,0,0
60,69.0,7590,6,5,1966,1966,266.0,512,0,148,660,660,688,1348,1,1,1966.0,2,188,0,0
20,69.0,8973,5,7,1958,1991,85.0,567,28,413,1008,1053,0,1053,1,0,1998.0,2,0,0,0
60,88.0,14200,7,6,1966,1966,309.0,445,0,479,924,1216,941,2157,2,2,1966.0,2,105,0,0
20,75.0,7388,5,6,1959,2002,0.0,405,0,658,1063,1327,0,1327,1,0,1974.0,2,0,0,0
20,78.0,10335,5,6,1968,1993,0.0,570,0,891,1461,1721,0,1721,2,1,1968.0,2,0,180,0
20,80.0,10400,7,6,1970,1970,288.0,0,0,1304,1304,1682,0,1682,2,1,1970.0,2,98,0,0
90,82.0,11070,7,5,1988,1989,70.0,0,0,1907,1907,1959,0,1959,3,0,1989.0,3,0,0,0
60,73.0,9066,8,5,1999,2000,320.0,668,0,336,1004,1004,848,1852,2,2,1999.0,3,224,0,0
60,65.0,15426,6,5,1997,1997,0.0,821,0,107,928,928,836,1764,2,0,1997.0,2,276,0,0
20,78.0,11645,7,5,2005,2005,0.0,1300,0,434,1734,1734,0,1734,2,0,2005.0,2,160,0,0
50,71.0,8520,5,4,1952,1952,0.0,507,0,403,910,910,475,1385,2,0,2000.0,2,0,0,0
20,78.0,10335,7,5,1999,1999,183.0,679,0,811,1490,1501,0,1501,2,0,1999.0,2,144,0,0
90,70.0,9100,5,5,1963,1963,336.0,1332,0,396,1728,1728,0,1728,2,0,1963.0,2,0,0,0
160,24.0,2522,6,5,2004,2006,50.0,0,0,970,970,970,739,1709,2,0,2004.0,2,0,0,0
30,51.0,6120,5,7,1931,1993,0.0,209,0,506,715,875,0,875,1,0,1931.0,1,48,0,0
20,120.0,10356,5,6,1975,1975,0.0,716,0,253,969,969,0,969,1,0,1975.0,2,0,0,0
20,107.0,13891,8,5,2007,2008,436.0,1400,0,310,1710,1710,0,1710,2,1,2007.0,3,0,0,0
30,84.0,11340,6,5,1923,1950,0.0,0,0,1200,1200,1200,0,1200,1,0,1923.0,1,0,228,0
20,60.0,7200,5,7,1950,1950,0.0,0,0,0,0,1040,0,1040,1,0,1950.0,2,0,0,0
60,92.0,12003,8,5,2009,2010,84.0,0,0,774,774,774,1194,1968,2,1,2009.0,3,0,0,0
60,100.0,12552,7,5,2004,2005,0.0,222,0,769,991,991,956,1947,2,1,2004.0,2,0,0,0
60,134.0,19378,7,5,2005,2006,456.0,57,0,1335,1392,1392,1070,2462,2,1,2006.0,2,239,0,0
60,110.0,13688,9,5,2003,2004,664.0,1016,0,556,1572,1572,1096,2668,2,2,2003.0,3,400,0,0
20,95.0,12182,7,5,2005,2005,226.0,1201,0,340,1541,1541,0,1541,2,1,2005.0,2,0,0,0
40,40.0,5400,6,7,1926,2004,0.0,370,0,779,1149,1149,467,1616,2,0,1926.0,1,0,183,0
60,86.0,10562,8,5,2007,2007,300.0,1288,0,294,1582,1610,551,2161,1,1,2007.0,3,178,0,0
60,62.0,8244,7,5,2004,2004,0.0,0,0,840,840,840,880,1720,2,1,2004.0,2,100,0,0
20,141.0,31770,6,5,1960,1960,112.0,639,0,441,1080,1656,0,1656,1,2,1960.0,2,210,0,0
160,44.0,5306,7,7,1987,1987,0.0,495,215,354,1064,1064,703,1767,2,1,1987.0,2,441,0,0
20,80.0,10197,6,5,1961,1961,491.0,288,374,700,1362,1362,0,1362,1,1,1961.0,2,0,0,0
20,47.0,12416,6,5,1986,1986,132.0,1398,208,0,1606,1651,0,1651,2,1,1986.0,2,192,0,0
20,84.0,12615,6,7,1950,2001,0.0,477,0,725,1202,2158,0,2158,2,1,1950.0,2,0,39,0
60,97.0,10029,6,5,1988,1989,268.0,831,0,320,1151,1164,896,2060,2,1,1988.0,2,0,0,0
20,63.0,17423,9,5,2008,2009,748.0,1904,0,312,2216,2234,0,2234,2,1,2009.0,3,0,0,0
30,60.0,8520,5,6,1923,2006,0.0,0,0,968,968,968,0,968,1,0,1935.0,2,0,184,0
70,54.0,7588,7,6,1920,1950,0.0,352,0,441,793,901,901,1802,1,1,1920.0,1,0,40,0
20,60.0,9060,5,6,1957,2006,98.0,0,0,0,0,1340,0,1340,1,1,1957.0,1,116,0,0
50,63.0,11426,7,5,2003,2003,0.0,0,0,1362,1362,1362,720,2082,2,0,2003.0,2,280,0,0
50,92.0,7438,5,8,1908,1991,0.0,0,0,504,504,936,316,1252,1,0,1986.0,2,104,0,0
75,90.0,22950,10,9,1892,1993,0.0,0,0,1107,1107,1518,1518,3608,2,2,1993.0,3,0,0,0
50,60.0,10410,5,7,1916,1987,0.0,0,0,660,660,808,704,1656,2,0,1916.0,1,0,0,0
90,64.0,7018,5,5,1979,1979,275.0,1086,0,0,1086,1224,0,1224,0,2,1979.0,2,120,0,0
120,41.0,4923,8,5,2001,2002,0.0,1153,0,440,1593,1593,0,1593,1,1,2001.0,2,0,0,0
70,70.0,10570,8,8,1932,1994,0.0,297,0,556,853,1549,1178,2727,2,2,1932.0,2,0,0,0
20,68.0,9017,7,5,1999,1999,0.0,560,0,871,1431,1431,0,1431,2,0,1999.0,2,0,0,0
160,24.0,2522,7,5,2004,2004,50.0,0,0,970,970,970,739,1709,2,0,2004.0,2,0,0,0
20,60.0,7180,5,7,1972,1972,0.0,390,0,474,864,864,0,864,1,0,1989.0,1,0,0,0
160,24.0,2280,6,6,1976,1976,0.0,566,0,289,855,855,601,1456,2,1,1976.0,2,87,0,0
20,79.0,9416,7,5,2007,2007,205.0,1126,0,600,1726,1726,0,1726,2,1,2007.0,3,171,0,0
75,174.0,25419,8,4,1918,1990,0.0,1036,184,140,1360,1360,1360,3112,2,1,1918.0,2,0,552,0
20,76.0,9591,8,5,2004,2005,262.0,1088,0,625,1713,1713,0,1713,2,1,2004.0,3,0,0,0
20,80.0,8546,4,5,2003,2004,0.0,0,0,1121,1121,1121,0,1121,2,0,2003.0,2,132,0,0
20,75.0,10125,6,6,1977,1977,0.0,641,279,276,1196,1279,0,1279,2,2,1980.0,2,238,0,0
50,50.0,7000,6,6,1924,1950,0.0,617,0,0,617,865,445,1310,2,0,1924.0,1,0,126,0
50,50.0,3500,5,7,1947,1950,0.0,312,0,408,720,720,564,1284,1,0,1948.0,1,0,0,0
20,99.0,11851,7,5,1990,1990,0.0,0,0,1424,1424,1442,0,1442,2,0,1990.0,2,0,0,0
20,40.0,13673,5,5,1962,1962,0.0,0,0,1140,1140,1696,0,1696,1,1,1962.0,1,0,0,0
20,75.0,8250,6,7,1964,1964,260.0,787,0,305,1092,1092,0,1092,1,0,1964.0,2,0,0,0
20,83.0,10420,6,5,2009,2009,0.0,36,0,1176,1212,1212,0,1212,2,0,2009.0,2,100,0,0
60,72.0,8640,7,5,2009,2009,0.0,822,0,78,900,932,920,1852,2,1,2009.0,2,168,0,0
20,43.0,13568,5,5,1995,1995,0.0,716,0,274,990,990,0,990,1,0,1996.0,2,224,0,0
20,72.0,10011,5,6,1957,1996,64.0,360,0,710,1070,1236,0,1236,1,1,1957.0,1,0,0,0
20,65.0,8450,7,5,2004,2004,266.0,946,0,490,1436,1436,0,1436,2,0,2004.0,2,139,0,0
70,57.0,9906,4,4,1925,1950,0.0,0,0,686,686,810,518,1328,1,0,1940.0,1,0,60,0
120,43.0,3010,7,5,2005,2006,16.0,16,0,1232,1248,1248,0,1248,2,0,2005.0,2,108,0,0
20,73.0,8990,7,5,2006,2006,0.0,0,0,1498,1498,1498,0,1498,2,0,2006.0,2,351,0,0
60,85.0,11475,6,6,1975,1975,0.0,550,0,163,713,811,741,1552,2,1,1975.0,2,209,0,0
20,70.0,10500,4,6,1971,1971,0.0,524,180,160,864,864,0,864,1,0,1989.0,2,216,0,0
20,103.0,13472,10,5,2003,2003,922.0,56,0,2336,2392,2392,0,2392,2,1,2003.0,3,248,0,0
160,21.0,1680,5,5,1971,1971,142.0,0,0,630,630,630,672,1302,2,0,1991.0,1,0,0,0
60,82.0,9950,7,5,1995,1995,290.0,565,0,638,1203,1214,1306,2520,2,1,1995.0,3,224,0,0
160,21.0,1869,6,6,1970,1970,127.0,321,0,162,483,483,504,987,1,0,1987.0,1,0,0,0
20,70.0,8521,5,5,1967,1967,0.0,842,0,70,912,912,0,912,1,1,1974.0,1,0,0,0
120,43.0,3182,7,5,2005,2006,16.0,16,0,1357,1373,1555,0,1555,2,1,2005.0,2,143,0,0
20,73.0,8760,6,6,1959,1959,220.0,0,0,1194,1194,1194,0,1194,1,0,1959.0,1,0,120,0
60,174.0,15138,8,5,1995,1996,506.0,689,0,773,1462,1490,1304,2794,2,1,1995.0,3,0,202,0
160,21.0,1680,6,5,1972,1972,297.0,0,0,483,483,483,504,987,1,1,1972.0,1,0,0,0
20,75.0,10650,5,6,1976,1976,0.0,182,712,0,894,894,0,894,1,0,1976.0,1,365,0,0
160,21.0,1680,6,3,1971,1971,604.0,358,0,125,483,483,504,987,1,0,1971.0,1,0,0,0
20,65.0,8773,7,5,2004,2004,98.0,24,0,1390,1414,1414,0,1414,2,0,2004.0,2,132,0,0
20,93.0,12030,8,5,2007,2007,254.0,0,0,1694,1694,1694,0,1694,2,0,2007.0,3,168,0,0
50,52.0,8741,6,4,1945,1950,0.0,94,0,641,735,798,689,1487,1,1,1949.0,1,0,0,0
20,75.0,9000,8,5,2008,2008,36.0,1078,0,488,1566,1566,0,1566,2,0,2008.0,2,144,0,0
50,63.0,5000,5,4,1900,1950,0.0,0,0,540,540,889,551,1440,1,0,1940.0,1,0,77,0
160,75.0,10762,6,6,1980,1980,0.0,0,0,626,626,626,591,1217,1,1,1980.0,1,0,0,0
20,80.0,10400,7,5,1988,1988,102.0,929,0,916,1845,1872,0,1872,2,1,1988.0,2,197,0,0
190,69.0,9142,6,8,1910,1950,0.0,0,0,1020,1020,908,1020,1928,2,0,1910.0,1,0,112,0
20,75.0,11310,6,5,1954,1954,0.0,0,0,1367,1367,1375,0,1375,1,1,1954.0,2,0,0,0
60,72.0,11317,7,5,2003,2003,101.0,0,0,840,840,840,828,1668,2,0,2003.0,2,144,0,0
120,44.0,4750,8,5,2006,2007,481.0,1573,0,0,1573,1625,0,1625,2,1,2006.0,2,123,0,0
60,65.0,8366,6,5,2004,2004,0.0,0,0,798,798,798,842,1640,2,0,2004.0,2,138,0,0
80,85.0,9350,6,7,1964,1991,108.0,270,580,452,1302,1302,0,1302,2,0,1964.0,1,333,0,0
20,70.0,8400,5,6,1957,1957,0.0,922,0,392,1314,1314,0,1314,1,0,1957.0,1,250,0,0
60,66.0,8738,7,5,1999,1999,302.0,0,0,975,975,1005,1286,2291,2,1,1999.0,2,192,0,0
60,64.0,8791,6,5,2003,2003,0.0,503,0,361,864,864,864,1728,2,0,2003.0,2,216,0,0
20,68.0,8814,7,5,2006,2006,180.0,1334,0,270,1604,1604,0,1604,2,1,2006.0,2,123,0,0
60,80.0,12435,7,5,2001,2001,172.0,361,0,602,963,963,829,1792,2,1,2001.0,2,0,0,0
20,70.0,12702,5,5,1956,1956,0.0,0,0,0,0,882,0,882,1,0,1956.0,1,0,0,0
80,120.0,19296,6,5,1962,1962,399.0,672,690,0,1362,1382,0,1382,1,1,1991.0,2,0,252,0
60,69.0,9588,8,5,2007,2007,270.0,0,0,1482,1482,1482,1092,2574,2,1,2007.0,3,0,0,0
80,88.0,8471,6,7,1977,1995,46.0,506,0,0,506,1212,0,1212,1,1,1978.0,2,292,0,0
50,50.0,5500,5,7,1929,2001,0.0,234,692,0,926,926,0,1316,1,0,1974.0,2,0,0,0
30,30.0,5232,5,5,1925,2004,0.0,0,0,680,680,764,0,764,1,0,1965.0,2,0,0,0
20,78.0,12090,6,6,1981,1981,210.0,588,228,606,1422,1422,0,1422,2,1,1981.0,2,276,0,0
60,70.0,11207,6,5,1997,1997,0.0,714,0,88,802,802,709,1511,2,1,1997.0,2,95,0,0
75,60.0,8400,5,8,1939,1997,0.0,378,0,342,720,1052,720,2192,2,1,1939.0,1,262,0,0
30,71.0,6900,5,6,1940,1955,0.0,403,125,212,740,778,0,778,1,1,1966.0,1,0,0,0
60,84.0,10728,8,5,2006,2006,0.0,0,0,1095,1095,1095,844,1939,2,1,2006.0,3,192,0,0
20,73.0,39104,7,7,1954,2005,0.0,226,1063,96,1385,1363,0,1363,1,2,1954.0,2,81,0,0
60,92.0,11764,8,7,1999,2007,348.0,524,0,628,1152,1164,1106,2270,2,1,1999.0,3,132,0,0
20,80.0,9600,6,6,1958,1988,183.0,620,620,0,1240,1632,0,1632,2,1,1958.0,1,289,0,0
20,76.0,8314,5,7,1982,1982,0.0,546,0,270,816,816,0,816,1,0,1982.0,1,168,0,0
50,55.0,7264,7,7,1925,2007,0.0,0,0,952,952,952,596,1548,2,0,1978.0,2,74,0,0
20,129.0,9196,7,5,2003,2003,0.0,0,0,1560,1560,1560,0,1560,2,0,2003.0,2,100,0,0
20,140.0,19138,4,5,1951,1951,0.0,120,0,744,864,864,0,864,1,0,1951.0,2,0,0,0
20,107.0,14450,9,5,2006,2007,315.0,0,0,2121,2121,2121,0,2121,2,1,2007.0,3,124,0,0
60,83.0,10005,7,5,1977,1977,299.0,392,0,768,1160,1156,866,2022,2,1,1977.0,2,288,0,0
60,82.0,11287,7,6,1989,1989,340.0,421,0,386,807,1175,807,1982,2,1,1989.0,2,0,0,0
20,60.0,7200,6,5,2006,2006,68.0,905,0,357,1262,1262,0,1262,2,0,2006.0,2,0,0,0
120,34.0,5063,7,5,2007,2008,166.0,904,0,410,1314,1314,0,1314,2,1,2008.0,2,172,0,0
20,74.0,9612,8,5,2008,2009,72.0,0,0,1468,1468,1468,0,1468,2,1,2008.0,3,210,0,0
120,50.0,8012,6,5,1992,1992,0.0,430,0,1145,1575,1575,0,1575,2,0,1992.0,2,0,52,0
160,35.0,4251,7,5,2006,2007,0.0,0,0,625,625,625,625,1250,2,0,2006.0,2,0,0,0
50,77.0,9786,6,7,1962,1981,0.0,600,0,312,912,1085,649,1734,1,1,1962.0,2,0,0,0
70,60.0,8730,6,7,1915,2003,0.0,0,0,698,698,698,698,1396,1,0,2003.0,1,0,0,0
60,120.0,15611,8,5,2006,2006,0.0,0,0,1079,1079,1079,840,1919,2,1,2006.0,2,0,0,0
50,60.0,11409,5,4,1949,2008,0.0,292,0,476,768,1148,568,1716,1,1,1949.0,1,0,0,0
20,80.0,9600,6,5,1953,1953,238.0,1285,0,131,1416,1644,0,1644,1,2,1953.0,2,110,0,0
80,37.0,7937,6,6,1984,1984,0.0,819,0,184,1003,1003,0,1003,1,0,1984.0,2,120,0,0
50,75.0,13710,5,5,1950,1950,0.0,420,0,490,910,910,648,1558,1,0,1950.0,1,289,0,0
60,66.0,7399,7,5,1997,1998,1600.0,649,0,326,975,975,975,1950,2,1,1997.0,2,0,0,0
60,90.0,11700,6,6,1968,1968,365.0,384,175,143,702,1041,702,1743,1,1,1968.0,2,224,0,0
20,80.0,14000,6,8,1950,2004,0.0,0,0,1092,1092,1152,0,1152,1,1,1950.0,1,0,0,0
190,90.0,15750,5,5,1953,1953,56.0,841,0,324,1165,1336,0,1336,1,2,1953.0,1,0,0,0
60,66.0,16226,8,5,1998,1999,0.0,281,0,747,1028,1210,1242,2452,2,1,1998.0,2,208,0,0
20,118.0,13704,7,5,2001,2002,150.0,0,0,1541,1541,1541,0,1541,2,1,2001.0,3,468,0,0
20,70.0,9800,5,7,1972,1972,0.0,894,0,0,894,894,0,894,1,0,1975.0,2,256,0,0
75,87.0,18386,7,9,1880,2002,0.0,0,0,1470,1470,1675,1818,3493,3,1,2003.0,3,302,0,0
20,80.0,10386,8,5,2004,2005,246.0,1464,0,536,2000,2000,0,2000,2,0,2004.0,3,168,0,0
60,116.0,13474,7,5,1990,1991,246.0,700,0,0,700,1122,1121,2243,2,1,1990.0,3,127,224,0
20,90.0,12378,9,5,2003,2004,0.0,1274,0,622,1896,1944,0,1944,2,3,2003.0,3,208,0,0
20,50.0,8000,6,6,1948,2002,0.0,680,0,292,972,972,0,972,1,1,1948.0,1,0,0,0
190,65.0,7800,5,7,1939,1950,0.0,507,0,286,793,793,325,1118,1,1,1939.0,2,0,0,0
